original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
28,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,93,!,ah !%mor: co|ah !,%mor:
29,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,95,?,te gusta ?%mor: pro:obj|te=you v|gusta-3S&PRES=like ?,%mor:
30,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,97,.,sí me gusta .%mor: co|sí=yes pro:obj|me=me v|gusta-3S&PRES=like .,%mor:
31,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,99,?,claro (.) a qué es chulo (.) eh ?%mor: co|claro=obvious aprep|a=to pro:int|qué=what cop|se-3S&PRES=be adj|chulo-m=amusing_pretty co|eh ?,%mor:
32,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,102,!,sí (.) <qué chulo> [/] <qué chulo> [/] qué chulo !%mor: co|sí=yes pro:int|qué=what adj|chulo-m=amusing_pretty !,%mor:
33,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,104,.,<pon la radito> [?] .%mor: imp|pone-2S&IMP=put det:art|el&f&SG=the n|radio&m-DIM=radius .,%mor:
34,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,106,?,está ya puesta (.) venga (.) me vas a contar el cuento ?%mor: cop|esta-3S&PRES=be adv|ya=already part|pone-PPART-f=put co|venga=come_on pro:obj|me=me v|i-2S&PRES=go aprep|a=to inf|conta-INF=count_tell det:art|el&m&SG=the n|cuento&m=story ?,%mor:
35,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,110,!,sí (.) (.) qué guapos estos !%mor: co|sí=yes pro:int|qué=what adj|guapo-m-PL=handsome det:dem|este-m-PL=this !,%mor:
36,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,114,?,a qué es guapo eh ?%mor: aprep|a=to pro:int|qué=what cop|se-3S&PRES=be adj|guapo-m=handsome co|eh ?,%mor:
37,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,117,?,pero estos son muy guapos (.) por qué no los cuentas ?%mor: n|pero&m=excuse det:dem|este-m-PL=this cop|se-3P&PRES=be adv|muy=very adj|guapo-m-PL=handsome prep|por=for pro:int|qué=what adv|no=no pro:obj|él&m-PL=he v|conta-2S&PRES=count_tell ?,%mor:
38,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,121,!,venga (.) ven (.) ven (.) ven !%mor: co|venga=come_on co|ven=come co|ven=come co|ven=come !,%mor:
39,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,125,.,te lo voy a contar (.) venga .%mor: pro:obj|te=you pro:obj|lo&m=him v|i-1S&PRES=go aprep|a=to inf|conta-INF=count_tell co|venga=come_on .,%mor:
40,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,128,.,<éste no> [/] <éste no> [/] éste no .%mor: pro:dem|éste=this_one adv|no=no .,%mor:
41,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,130,!,el de Caperucita (.) qué es muy guapo !%mor: det:art|el&m&SG=the prep|de=of n:prop|Caperucita pro:int|qué=what cop|se-3S&PRES=be adv|muy=very adj|guapo-m=handsome !,%mor:
42,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,133,.,se lo pides a (.) mamá .%mor: pro:refl|se=itself pro:obj|lo&m=him v|pedi-2S&PRES=request aprep|a=to n|mamá&f=mommy .,%mor:
43,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,136,?,el qué ?%mor: det:art|el&m&SG=the pro:int|qué=what ?,%mor:
44,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,138,.,ése no es .%mor: pro:dem|ése=that_one adv|no=no cop|se-3S&PRES=be .,%mor:
45,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,140,?,qué ?%mor: pro:int|qué=what ?,%mor:
46,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,142,?,le pides a mamá (.) el cuento de (.) Caperucita ?%mor: pro:ind|le=him v|pedi-2S&PRES=request aprep|a=to n|mamá&f=mommy det:art|el&m&SG=the n|cuento&m=story prep|de=of n:prop|Caperucita ?,%mor:
47,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,145,.,sí .%mor: co|sí=yes .,%mor:
48,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,147,!,venga a_ver (.) venga (.) vete corre !%mor: co|venga=come_on co|a_ver=lets_see co|venga=come_on imp|i-2S&IMP~pro:clit|2S=go v|corre-3S&PRES=run !,%mor:
49,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,150,?,se lo digo ?%mor: pro:refl|se=itself pro:obj|lo&m=him v|deci-1S&PRES=say ?,%mor:
50,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,152,.,díselo (.) venga sí .%mor: imp|deci-2S&IMP~pro:clit|3S&REFL~pro:clit|OBJ&m=say co|venga=come_on co|sí=yes .,%mor:
51,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,161,?,pero (.) no me lo vas a contar ?%mor: conj|pero=but adv|no=no pro:obj|me=me pro:obj|lo&m=him v|i-2S&PRES=go aprep|a=to inf|conta-INF=count_tell ?,%mor:
52,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,166,!,pero pimero [*] (.) enciende la radio !%mor: conj|pero=but ?|pimero v|encende-3S&PRES=light det:art|el&f&SG=the n|radio&m=radius !,%mor:
53,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,170,.,venga vale .%mor: co|venga=come_on co|vale=okay .,%mor:
54,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,172,?,si no <te lo> [//] puedo contar ni pintar (.) eh (.) pimero [*] pintamos ?%mor: conj|si=if adv|no=no v|pode-1S&PRES=can inf|conta-INF=count_tell coord|ni=nor inf|pinta-INF=paint co|eh ?|pimero v|pinta-1P&PRES&PRET=paint ?,%mor:
55,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,180,!,no (.) pimero [*] pintamos !%mor: adv|no=no ?|pimero v|pinta-1P&PRES&PRET=paint !,%mor:
56,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,183,?,pintamos y luego me lo (.) vas a contar tú (.) vale ?%mor: v|pinta-1P&PRES&PRET=paint coord|y=and adv|luego=afterwards pro:obj|me=me pro:obj|lo&m=him v|i-2S&PRES=go aprep|a=to inf|conta-INF=count_tell pro:sub|tú=you v|vale-3S&PRES=cost ?,%mor:
57,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,187,.,sí .%mor: co|sí=yes .,%mor:
58,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,189,.,venga vale .%mor: co|venga=come_on co|vale=okay .,%mor:
59,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,191,.,te lo cuento yo (.) pesada .%mor: pro:obj|te=you pro:obj|lo&m=him v|conta-1S&PRES=count_tell pro:sub|yo=I part|pesa-PPART-f=weigh .,%mor:
60,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,201,.,a pintar (.) venga .%mor: aprep|a=to inf|pinta-INF=paint co|venga=come_on .,%mor:
61,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,203,.,póneme [*] a Sergio .%mor: imp|pone-2S&IMP~pro:clit|1S=put aprep|a=to n:prop|Sergio .,%mor:
62,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,206,?,pero luego (.) vale ?%mor: conj|pero=but adv|luego=afterwards co|vale=okay ?,%mor:
63,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,208,?,vale (.) por (.) qué ?%mor: v|vale-3S&PRES=cost prep|por=for pro:int|qué=what ?,%mor:
64,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,210,.,venga a_ver (.) me vas a pintar el qué (.) un lápiz .%mor: co|venga=come_on co|a_ver=lets_see pro:obj|me=me v|i-2S&PRES=go aprep|a=to inf|pinta-INF=paint det:art|el&m&SG=the pro:int|qué=what det:art|un&m=one n|lápiz&m=pencil .,%mor:
65,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,214,!,un lápiz (.) de qué colores !%mor: det:art|un&m=one n|lápiz&m=pencil prep|de=of pro:int|qué=what v|colora-2S&SUB&PRES=color !,%mor:
66,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,217,?,de color (.) éste (.) qué [*] es éste ?%mor: prep|de=of n|color&m=hue pro:dem|éste=this_one pro:int|qué=what cop|se-3S&PRES=be pro:dem|éste=this_one ?,%mor:
67,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,222,.,verde .%mor: adj|verde=green .,%mor:
68,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,224,.,pues venga (.) un lápiz de color verde .%mor: co|pues=well co|venga=come_on det:art|un&m=one n|lápiz&m=pencil prep|de=of n|color&m=hue adj|verde=green .,%mor:
69,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,228,.,verde y verde .%mor: adj|verde=green coord|y=and adj|verde=green .,%mor:
70,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,230,!,y ahora un lápiz de color (.) éste !%mor: coord|y=and adv|ahora=now det:art|un&m=one n|lápiz&m=pencil prep|de=of n|color&m=hue pro:dem|éste=this_one !,%mor:
71,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,236,?,qué es esto ?%mor: pro:int|qué=what cop|se-3S&PRES=be pro:dem|esto=this_one ?,%mor:
72,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,238,.,rojo .%mor: adj|rojo-m=red .,%mor:
73,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,240,.,rojo .%mor: adj|rojo-m=red .,%mor:
74,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,242,.,pue [*] rojo (.) y amarillo [% dibuja el lápiz] .%mor: ?|pue adj|rojo-m=red coord|y=and adj|amarillo-m=yellow .,%mor:
75,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,245,?,rojo y amarillo (.) (.) y ahora un lápiz de color (.) qué es esto ?%mor: adj|rojo-m=red coord|y=and adj|amarillo-m=yellow coord|y=and adv|ahora=now det:art|un&m=one n|lápiz&m=pencil prep|de=of n|color&m=hue pro:int|qué=what cop|se-3S&PRES=be pro:dem|esto=this_one ?,%mor:
76,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,250,.,rojo .%mor: adj|rojo-m=red .,%mor:
77,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,252,.,azul .%mor: adj|azul=blue .,%mor:
78,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,254,.,azul .%mor: adj|azul=blue .,%mor:
79,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,256,.,muy bien y ahora un lápiz de color (.) éste .%mor: adv|muy=very adv|bien=well coord|y=and adv|ahora=now det:art|un&m=one n|lápiz&m=pencil prep|de=of n|color&m=hue pro:dem|éste=this_one .,%mor:
80,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,260,.,rojo .%mor: adj|rojo-m=red .,%mor:
81,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,262,?,otra vez rojo (.) (.) y esto ?%mor: det:indef|otro-f=other n|vez&f=turn adj|rojo-m=red coord|y=and pro:dem|esto=this_one ?,%mor:
82,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,265,.,verde .%mor: adj|verde=green .,%mor:
83,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,267,?,verde y éste ?%mor: adj|verde=green coord|y=and pro:dem|éste=this_one ?,%mor:
84,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,269,.,verde y azul .%mor: adj|verde=green coord|y=and adj|azul=blue .,%mor:
85,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,271,?,verde y azul (.) y el qué tienes tú ?%mor: adj|verde=green coord|y=and adj|azul=blue coord|y=and det:art|el&m&SG=the pro:int|qué=what v|tene-2S&PRES=have pro:sub|tú=you ?,%mor:
86,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,275,.,verde y azul .%mor: adj|verde=green coord|y=and adj|azul=blue .,%mor:
87,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,277,?,verde y azul (.) otra vez ?%mor: adj|verde=green coord|y=and adj|azul=blue det:indef|otro-f=other n|vez&f=turn ?,%mor:
88,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,280,!,sí !%mor: co|sí=yes !,%mor:
89,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,282,?,sí ?%mor: co|sí=yes ?,%mor:
90,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,285,?,quién es ?%mor: pro:int|quién=who cop|se-3S&PRES=be ?,%mor:
91,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,287,.,no sé .%mor: adv|no=no v|sabe-1S&PRES=know .,%mor:
92,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,289,.,no sé (.) eso .%mor: adv|no=no v|sabe-1S&PRES=know pro:dem|eso=that_one .,%mor:
93,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,291,?,y (.) esto (.) qué es ?%mor: coord|y=and pro:dem|esto=this_one pro:int|qué=what cop|se-3S&PRES=be ?,%mor:
94,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,295,.,una espada .%mor: det:art|un-f=one n|espada&f=sword .,%mor:
95,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,297,?,una espada ?%mor: det:art|un-f=one n|espada&f=sword ?,%mor:
96,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,301,?,no jugamos a eso &pi (.) pero [/] pero (.) no dijiste que jugamos al (.) cuento de Caperucita y (.) pintamos ?%mor: adv|no=no v|juga-1P&PRES&PRET=play aprep|a=to pro:dem|eso=that_one n|pero&m=excuse adv|no=no v|deci-2S&PRET=say conj|que=that v|juga-1P&PRES&PRET=play aprep|a~det:art|el&m=to n|cuento&m=story prep|de=of n:prop|Caperucita coord|y=and v|pinta-1P&PRES&PRET=paint ?,%mor:
97,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,308,.,claro .%mor: co|claro=obvious .,%mor:
98,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,312,?,venga (.) a dónde está ?%mor: co|venga=come_on aprep|a=to pro:int|dónde=where cop|esta-3S&PRES=be ?,%mor:
99,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,315,.,pero entonces pintamos (.) un poco .%mor: conj|pero=but adv|entonces=then v|pinta-1P&PRES&PRET=paint det:art|un&m=one adv|poco=few .,%mor:
100,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,318,.,pero vamos a contar el cuento .%mor: conj|pero=but v|i-1P&PRES=go aprep|a=to inf|conta-INF=count_tell det:art|el&m&SG=the n|cuento&m=story .,%mor:
101,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,321,.,pués [*] (.) ya acabo .%mor: ?|pués adv|ya=already v|acaba-1S&PRES=finish .,%mor:
102,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,324,.,ya acabó (.) de pintar (.) ahora vamos a contar el cuento (.) mira (.) está allí (.) allí mira (.) ahí encima Sergio (.) (.) cógelo .%mor: adv|ya=already v|acaba-3S&PRET=finish prep|de=of inf|pinta-INF=paint adv|ahora=now v|i-1P&PRES=go aprep|a=to inf|conta-INF=count_tell det:art|el&m&SG=the n|cuento&m=story co|mira=look cop|esta-3S&PRES=be adv|allí=there adv|allí=there co|mira=look adv|ahí=there adv|encima=on_top n:prop|Sergio imp|coge-2S&IMP~pro:clit|OBJ&m=take .,%mor:
103,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,336,.,aquí .%mor: adv|aquí=here .,%mor:
104,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,338,!,el cuento (.) está allí !%mor: det:art|el&m&SG=the n|cuento&m=story cop|esta-3S&PRES=be adv|allí=there !,%mor:
105,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,341,!,ah !%mor: co|ah !,%mor:
106,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,343,.,encima de la cama (.) cógelo (.) venga (.) a_ver .%mor: adv|encima=on_top prep|de=of det:art|el&f&SG=the n|cama&f=bed imp|coge-2S&IMP~pro:clit|OBJ&m=take co|venga=come_on co|a_ver=lets_see .,%mor:
107,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,347,?,qué quieres ?%mor: pro:int|qué=what v|quere-2S&PRES=want ?,%mor:
108,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,349,?,que me lo cuentes (.) vale ?%mor: pro:rel|que=that pro:obj|me=me pro:obj|lo&m=him v|conta-2S&SUB&PRES=count_tell co|vale=okay ?,%mor:
109,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,354,.,no (.) cuéntamelo (.) anda .%mor: adv|no=no imp|conta-2S&IMP~pro:clit|1S~pro:clit|OBJ&m=count_tell co|anda=come_on .,%mor:
110,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,357,.,pero (.) pero después .%mor: n|pero&m=excuse n|pero&m=excuse adv|después=after .,%mor:
111,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,359,.,es que si no me lo cuentas me tengo que ir a mi casa .%mor: cop|se-3S&PRES=be pro:rel|que=that conj|si=if adv|no=no pro:obj|me=me pro:obj|lo&m=him v|conta-2S&PRES=count_tell pro:obj|me=me v|tene-1S&PRES=have pro:rel|que=that v|ir=go aprep|a=to det:poss|mi=my n|casa&f=house .,%mor:
112,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,364,.,oye pero vuelvo .%mor: co|oye=listen conj|pero=but v|volve-1S&PRES=turn .,%mor:
113,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,366,?,vas a volver ?%mor: v|i-2S&PRES=go aprep|a=to inf|volve-INF=turn ?,%mor:
114,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,368,.,sí vuelvo pronto [?] .%mor: co|sí=yes v|volve-1S&PRES=turn adv|pronto=soon .,%mor:
115,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,370,?,oye pero (.) me lo vas a contar ?%mor: co|oye=listen conj|pero=but pro:obj|me=me pro:obj|lo&m=him v|i-2S&PRES=go aprep|a=to inf|conta-INF=count_tell ?,%mor:
116,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,373,.,sí pero xxx .%mor: co|sí=yes n|pero&m=excuse .,%mor:
117,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,375,?,de verdad ?%mor: prep|de=of n|verdad&f=truth ?,%mor:
118,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,377,!,sí de verdad (.) voy <a ver> [//] a decir una cosa a mi madre (.) porque si no (.) pues (.) se enfada !%mor: co|sí=yes prep|de=of n|verdad&f=truth v|i-1S&PRES=go aprep|a=to inf|deci-INF=say det:art|un-f=one n|cosa&f=thing aprep|a=to det:poss|mi=my n|madre&f=mother conj|porque=because conj|si=if adv|no=no co|pues=well pro:refl|se=itself v|enfada-3S&PRES=anger !,%mor:
119,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,383,?,se enfada ?%mor: pro:refl|se=itself v|enfada-3S&PRES=anger ?,%mor:
120,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,385,.,0 [=! asiente con la cabeza] .,%mor:
121,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,390,!,no lo pintaré (.) (.) no lo pintaría !%mor: adv|no=no pro:obj|lo&m=him v|pinta-1S&FUT=paint adv|no=no pro:obj|lo&m=him v|pinta-13S&COND=paint !,%mor:
122,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,393,!,está al revés Sergio [= el cuento de Caperucita] !%mor: cop|esta-3S&PRES=be aprep|a~det:art|el&m=to n|revés&m=reverse n:prop|Sergio !,%mor:
