original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
17,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,35,?,ese de qué (e)s ?,%mor:,0,,,,0,0,0,,,,,
18,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,35,cop|se-3s&pres=be,ese de qué (e)s ?%mor: det:dem|ese=that prep|de=of pro:int|qué=what cop|se-3S&PRES=be ?,%svd:,ser,DP-dem,,0,3,s,pres,,,,,
19,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,37,?,de qué crees tú que sea ?,%mor:,0,,,,0,0,0,,,,,
20,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,37,v|cree-2s&pres=believe,de qué crees tú que sea ?%mor: prep|de=of pro:int|qué=what v|cree-2S&PRES=believe pro:sub|tú=you pro:rel|que=that cop|se-13S&SUB&PRES=be ?,%svd:,creer,1,,1,2,s,pres,,,,,
21,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,37,cop|se-13s&sub&pres=be,de qué crees tú que sea ?%mor: prep|de=of pro:int|qué=what v|cree-2S&PRES=believe pro:sub|tú=you pro:rel|que=that cop|se-13S&SUB&PRES=be ?,%svd:,ser,0,,0,3,s,sub&pres,,,,,
22,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,40,?,de Spider_Pig ?,%mor:,0,,,,0,0,0,,,,,
23,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,42,?,"no, se parece a la portada de Spider_Pig, de qué trata esa película, a_ver platícame ?",%mor:,0,,,,0,0,0,,,,,
24,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,42,v|parece-3s&pres=seem,"no, se parece a la portada de Spider_Pig@s:eng, de qué trata esa película, a_ver platícame ?%mor: co|no=no cm|cm pro:refl|se=itself v|parece-3S&PRES=seem aprep|a=to det:art|el&f&SG=the part|porta-PPART-f=behave prep|de=of L2|Spider_Pig cm|cm prep|de=of pro:int|qué=what v|trata-3S&PRES=treat det:dem|ese-f=that n|película&f=film cm|cm co|a_ver=lets_see imp|platica-2S&IMP~pro:clit|1S=talk ?",%svd:,parecer,0,,0,3,s,pres,,,,,
25,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,42,v|trata-3s&pres=treat,"no, se parece a la portada de Spider_Pig@s:eng, de qué trata esa película, a_ver platícame ?%mor: co|no=no cm|cm pro:refl|se=itself v|parece-3S&PRES=seem aprep|a=to det:art|el&f&SG=the part|porta-PPART-f=behave prep|de=of L2|Spider_Pig cm|cm prep|de=of pro:int|qué=what v|trata-3S&PRES=treat det:dem|ese-f=that n|película&f=film cm|cm co|a_ver=lets_see imp|platica-2S&IMP~pro:clit|1S=talk ?",%svd:,tratar,DP-def,,0,3,s,pres,,,,,
26,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,49,?,&eh déjame ver de qué es ?,%mor:,0,,,,0,0,0,,,,,
27,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,49,cop|se-3s&pres=be,&eh déjame ver de qué es ?%mor: imp|deja-2S&IMP~pro:clit|1S=leave inf|ve-INF=see prep|de=of pro:int|qué=what cop|se-3S&PRES=be ?,%svd:,ser,0,,0,3,s,pres,,,,,
28,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,52,?,"no, pero de qué trata la película, te acuerdas ?",%mor:,0,,,,0,0,0,,,,,
29,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,52,v|trata-3s&pres=treat,"no, pero de qué trata la película, te acuerdas ?%mor: co|no=no cm|cm conj|pero=but prep|de=of pro:int|qué=what v|trata-3S&PRES=treat det:art|el&f&SG=the n|película&f=film cm|cm pro:obj|te=you v|acorda-2S&PRES=remind ?",%svd:,tratar,DP-def,,0,3,s,pres,,,,,
30,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,52,v|acorda-2s&pres=remind,"no, pero de qué trata la película, te acuerdas ?%mor: co|no=no cm|cm conj|pero=but prep|de=of pro:int|qué=what v|trata-3S&PRES=treat det:art|el&f&SG=the n|película&f=film cm|cm pro:obj|te=you v|acorda-2S&PRES=remind ?",%svd:,acordar,0,,1,2,s,pres,switch,switch,,,
31,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,56,.,&mmh .,%mor:,0,,,,0,0,0,,,,,
32,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,57,?,no te acuerdas ?,%mor:,0,,,,0,0,0,,,,,
33,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,57,v|acorda-2s&pres=remind,no te acuerdas ?%mor: adv|no=no pro:obj|te=you v|acorda-2S&PRES=remind ?,%svd:,acordar,0,,1,2,s,pres,,,,,
34,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,59,?,"de los duendes, y del otro que le escupe en la cara a los niños ?",%mor:,0,,,,0,0,0,,,,,
35,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,59,v|escupi-3s&pres=spit,"de los duendes, y del otro que le escupe en la cara a los niños ?%mor: prep|de=of det:art|el&m-PL=the n|duende&m-PL=ghost cm|cm coord|y=and prep|de~det:art|el&m=of det:indef|otro-m=other pro:rel|que=that pro:ind|le=him v|escupi-3S&PRES=spit prep|en=in det:art|el&f&SG=the n|cara&f=face aprep|a=to det:art|el&m-PL=the n|niño-m-PL=child ?",%svd:,escupir,na,na,na,na,na,na,na,na,na,relative clause,
36,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,65,.,&ah .,%mor:,0,,,,0,0,0,,,,,
37,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,66,?,"a_ver, platícame de qué &plati, de qué trata la película ?",%mor:,0,,,,0,0,0,,,,,
38,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,66,v|trata-3s&pres=treat,"a_ver, platícame de qué &plati, de qué trata la película ?%mor: co|a_ver=lets_see cm|cm imp|platica-2S&IMP~pro:clit|1S=talk prep|de=of pro:int|qué=what cm|cm prep|de=of pro:int|qué=what v|trata-3S&PRES=treat det:art|el&f&SG=the n|película&f=film ?",%svd:,tratar,DP-def,,0,3,s,pres,,,,,
39,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,70,.,Spider_Pig .,%mor:,0,,,,0,0,0,,,,,
40,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,72,.,&mmhm .,%mor:,0,,,,0,0,0,,,,,
41,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,73,.,"te lo dije de Spider_Pig, el de Spider_Pig .",%mor:,0,,,,0,0,0,,,,,
42,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,73,v|deci-1s&pret=say,"te lo dije de Spider_Pig@s:eng, el de Spider_Pig@s:eng .%mor: pro:obj|te=you pro:obj|lo&m=him v|deci-1S&PRET=say prep|de=of L2|Spider_Pig cm|cm det:art|el&m&SG=the prep|de=of L2|Spider_Pig .",%svd:,decir,0,,1,1,s,pret,,,,,
43,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,76,.,ajá .,%mor:,0,,,,0,0,0,,,,,
44,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,78,v|tene-3s&pres=have,tiene de Spider_Pig@s:eng +/.%mor: v|tene-3S&PRES=have prep|de=of L2|Spider_Pig +/.,%mor:,tener,,,0,3,s,pres,,,,,
45,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,78,v|tene-3s&pres=have,tiene de Spider_Pig@s:eng +/.%mor: v|tene-3S&PRES=have prep|de=of L2|Spider_Pig +/.,%svd:,tener,,,0,3,s,pres,,,,,
46,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,80,.,y a_ver platícame de que estos cuentos .,%mor:,0,,,,0,0,0,,,,,
47,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,84,.,&mmh .,%mor:,0,,,,0,0,0,,,,,
48,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,85,?,ya los habías visto ?,%mor:,0,,,,0,0,0,,,,,
49,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,85,v|habe-2s&pas=have,ya los habías visto ?%mor: adv|ya=already pro:obj|él&m-PL=he v|habe-2S&PAS=have part|ve-PPART-m=see ?,%svd:,haber,0,,1,2,s,pas,,,,,
50,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,.,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .",%mor:,0,,,,0,0,0,,,,,
51,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|habe-3s&pres&spec=have,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,haber,na,na,na,na,na,na,na,na,na,exclude,
52,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|pone-3s&pres=put,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,poner,0,,1,3,s,pres,,,,,
53,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|molesta-3s&pres=bother,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,molestar,0,,1,3,s,pres,same,same,,,
54,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|sabe-3p&pres=know,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,saber,0,,1,3,p,pres,switch,switch,,,
55,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,cop|se-3s&pres=be,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,ser,na,na,na,na,na,na,na,na,na,false start,
56,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,cop|esta-3p&pres=be,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,estar,na,na,na,na,na,na,na,na,na,false start,
57,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,cop|esta-3s&pres=be,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,estar,0,,1,3,s,pres,switch,switch,,,
58,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|debe-3p&pres=must,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,deber,0,,1,3,p,pres,switch,switch,,,
59,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|da-3s&pres=give,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,dar,na,na,na,na,na,na,na,na,na,tag error,
60,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,88,v|debe-3p&pres=must,"hay un duende que cuando se pone verde y verde, se molesta con los otros porque no saben que es que están &ah  que está haciendo y le deben de da mi(el) y le deben de dar miel .%mor: v|habe-3S&PRES&SPEC=have det:art|un&m=one n|duende&m=ghost prep|que=than conj|cuando=when pro:refl|se=itself v|pone-3S&PRES=put adj|verde=green coord|y=and adj|verde=green cm|cm pro:refl|se=itself v|molesta-3S&PRES=bother prep|con=with det:art|el&m-PL=the pro:indef|otro-m-PL=other conj|porque=because adv|no=no v|sabe-3P&PRES=know pro:rel|que=that cop|se-3S&PRES=be pro:rel|que=that cop|esta-3P&PRES=be pro:rel|que=that cop|esta-3S&PRES=be part|hace-PROG=do coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of v|da-3S&PRES=give n|miel&m=honey coord|y=and pro:ind|le=him v|debe-3P&PRES=must prep|de=of inf|da-INF=give n|miel&m=honey .",%svd:,deber,0,,1,3,p,pres,same,same,,,
61,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,102,?,"miel, para qué le dan la miel ?",%mor:,0,,,,0,0,0,,,,,
62,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,102,v|da-3p&pres=give,"miel, para qué le dan la miel ?%mor: n|miel&m=honey cm|cm prep|para=for pro:int|qué=what pro:ind|le=him v|da-3P&PRES=give det:art|el&f&SG=the n|miel&m=honey ?",%svd:,dar,0,,1,3,p,pres,,,,,
63,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,105,.,para que ya no esté tan molesto .,%mor:,0,,,,0,0,0,,,,,
64,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,105,cop|esta-3s&imp=be,para que ya no esté tan molesto .%mor: prep|para=for pro:rel|que=that adv|ya=already adv|no=no cop|esta-3S&IMP=be adv|tan=such v|molesta-1S&PRES=bother .,%svd:,estar,0,,1,3,s,imp=,,,,,
65,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,105,v|molesta-1s&pres=bother,para que ya no esté tan molesto .%mor: prep|para=for pro:rel|que=that adv|ya=already adv|no=no cop|esta-3S&IMP=be adv|tan=such v|molesta-1S&PRES=bother .,%svd:,molestar,na,na,na,na,na,na,na,na,na,tag error,
66,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,108,?,"órale, y qué hace cuando está molesto ?",%mor:,0,,,,0,0,0,,,,,
67,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,108,v|hace-3s&pres=do,"órale, y qué hace cuando está molesto ?%mor: co|órale=okay cm|cm coord|y=and pro:int|qué=what v|hace-3S&PRES=do pro:rel|cuando=when cop|esta-3S&PRES=be v|molesta-1S&PRES=bother ?",%svd:,hacer,0,,1,3,s,pres,,,,,
68,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,108,cop|esta-3s&pres=be,"órale, y qué hace cuando está molesto ?%mor: co|órale=okay cm|cm coord|y=and pro:int|qué=what v|hace-3S&PRES=do pro:rel|cuando=when cop|esta-3S&PRES=be v|molesta-1S&PRES=bother ?",%svd:,estar,0,,1,3,s,pres,same,same,,,
