original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
35,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,72,v|queda-1s&pres=stay,acá nomás me quedo .%mor: adv|acá=there adv|nomás=only pro:obj|me=me v|queda-1S&PRES=stay .,%svd:,quedar,0,1,1,s,pres,,,,,
36,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,74,!,"vo(s), jugá &ay !%mor: pro:obj|vos=you cm|cm imp|juga-2S&IMP=play^imp|juzga-2S&IMP=judge !",%mor:,0,,,0,0,0,,,,,
37,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,76,.,jugá con papi .%mor: imp|juga-2S&IMP=play^imp|juzga-2S&IMP=judge prep|con=with n|papi&m=daddy .,%mor:,0,,,0,0,0,,,,,
38,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,79,!,+< &uuuups !,%mor:,0,,,0,0,0,,,,,
39,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,80,.,"vamo(s) a jugar, vamo(s) a jugar .%mor: v|i-1P&PRES=go aprep|a=to inf|juga-INF=play cm|cm v|i-1P&PRES=go aprep|a=to inf|juga-INF=play .",%mor:,0,,,0,0,0,,,,,
40,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,80,.,"vamo(s) a jugar, vamo(s) a jugar .%com: Ariel es el padrastro de Óscar, pero vive con él y lo ha asumido como un hijo .",%com:,0,,,0,0,0,,,,,
41,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,80,v|i-1p&pres=go,"vamo(s) a jugar, vamo(s) a jugar .%mor: v|i-1P&PRES=go aprep|a=to inf|juga-INF=play cm|cm v|i-1P&PRES=go aprep|a=to inf|juga-INF=play .",%svd:,ir,0,1,1,p,pres,,,,,
42,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,80,v|i-1p&pres=go,"vamo(s) a jugar, vamo(s) a jugar .%mor: v|i-1P&PRES=go aprep|a=to inf|juga-INF=play cm|cm v|i-1P&PRES=go aprep|a=to inf|juga-INF=play .",%svd:,ir,na,na,na,na,na,na,na,na,repetition,
43,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,85,.,jugá con papi .%mor: imp|juga-2S&IMP=play^imp|juzga-2S&IMP=judge prep|con=with n|papi&m=daddy .,%mor:,0,,,0,0,0,,,,,
44,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,88,.,a_ver .%mor: co|a_ver=lets_see .,%mor:,0,,,0,0,0,,,,,
45,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,90,.,vamo(s) a pasar todo(s) lo(s) animalitos esos .%mor: v|i-1P&PRES=go aprep|a=to inf|pasa-INF=pass det:indef|todo-m-PL=all det:art|el&m-PL=the n|animal&m-DIM-PL=animal det:dem|ese-m-PL=that .,%mor:,0,,,0,0,0,,,,,
46,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,90,v|i-1p&pres=go,vamo(s) a pasar todo(s) lo(s) animalitos esos .%mor: v|i-1P&PRES=go aprep|a=to inf|pasa-INF=pass det:indef|todo-m-PL=all det:art|el&m-PL=the n|animal&m-DIM-PL=animal det:dem|ese-m-PL=that .,%svd:,ir,0,1,1,p,pres,,,,,
47,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,93,.,acá me me vo(y) a quedar .%mor: adv|acá=there pro:obj|me=me pro:obj|me=me v|i-1S&PRES=go aprep|a=to inf|queda-INF=stay .,%mor:,0,,,0,0,0,,,,,
48,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,93,v|i-1s&pres=go,acá me me vo(y) a quedar .%mor: adv|acá=there pro:obj|me=me pro:obj|me=me v|i-1S&PRES=go aprep|a=to inf|queda-INF=stay .,%svd:,ir,0,1,1,s,pres,,,,,
49,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,96,.,no me voy a i(r) a ningún lado .%mor: adv|no=no pro:obj|me=me v|i-1S&PRES=go aprep|a=to v|ir=go aprep|a=to det:indef|ningún&m=none n|lado&m=side .,%mor:,0,,,0,0,0,,,,,
50,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,96,v|i-1s&pres=go,no me voy a i(r) a ningún lado .%mor: adv|no=no pro:obj|me=me v|i-1S&PRES=go aprep|a=to v|ir=go aprep|a=to det:indef|ningún&m=none n|lado&m=side .,%svd:,ir,0,1,1,s,pres,,same,,,
51,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,99,?,"xxx poner to(d)o acá, sí ?%mor: inf|pone-INF=put pro:indef|todo-m=all adv|acá=there cm|cm co|sí=yes ?",%mor:,0,,,0,0,0,,,,,
52,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,104,.,xxx .,%mor:,0,,,0,0,0,,,,,
53,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,105,.,xxx .,%mor:,0,,,0,0,0,,,,,
54,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,108,.,+< de acá .%mor: prep|de=of adv|acá=there .,%mor:,0,,,0,0,0,,,,,
55,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,FAT,.,male,.,.,Father,.,.,110,.,xxx .,%mor:,0,,,0,0,0,,,,,
56,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,111,.,"no, unas, unas preguntitas para hacerte a vos .%mor: co|no=no cm|cm v|uni-2S&SUB&PRES=unite cm|cm v|uni-2S&SUB&PRES=unite n|pregunta&f-DIM-PL=question prep|para=for inf|hace-INF~pro:clit|2S=do aprep|a=to pro:obj|vos=you .",%mor:,0,,,0,0,0,,,,,
57,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,111,v|uni-2s&sub&pres=unite,"no, unas, unas preguntitas para hacerte a vos .%mor: co|no=no cm|cm v|uni-2S&SUB&PRES=unite cm|cm v|uni-2S&SUB&PRES=unite n|pregunta&f-DIM-PL=question prep|para=for inf|hace-INF~pro:clit|2S=do aprep|a=to pro:obj|vos=you .",%svd:,unir,na,na,na,na,na,na,na,na,tag error,
58,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,111,v|uni-2s&sub&pres=unite,"no, unas, unas preguntitas para hacerte a vos .%mor: co|no=no cm|cm v|uni-2S&SUB&PRES=unite cm|cm v|uni-2S&SUB&PRES=unite n|pregunta&f-DIM-PL=question prep|para=for inf|hace-INF~pro:clit|2S=do aprep|a=to pro:obj|vos=you .",%svd:,unir,na,na,na,na,na,na,na,na,tag error,
59,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,115,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
60,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,117,v|acorda-1s&pret=remind,"que me acordé por esto que me &de, decías del guaraní +...%mor: pro:rel|que=that pro:obj|me=me v|acorda-1S&PRET=remind prep|por=for pro:dem|esto=this_one pro:rel|que=that pro:obj|me=me cm|cm v|deci-2S&PAS=say prep|de~det:art|el&m=of n|guaraní&m=Guarani +...",%mor:,0,,,0,0,0,,,,,
61,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,117,v|acorda-1s&pret=remind,"que me acordé por esto que me &de, decías del guaraní +...%mor: pro:rel|que=that pro:obj|me=me v|acorda-1S&PRET=remind prep|por=for pro:dem|esto=this_one pro:rel|que=that pro:obj|me=me cm|cm v|deci-2S&PAS=say prep|de~det:art|el&m=of n|guaraní&m=Guarani +...",%svd:,acordar,0,1,1,s,pret,,,,,
62,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,117,v|deci-2s&pas=say,"que me acordé por esto que me &de, decías del guaraní +...%mor: pro:rel|que=that pro:obj|me=me v|acorda-1S&PRET=remind prep|por=for pro:dem|esto=this_one pro:rel|que=that pro:obj|me=me cm|cm v|deci-2S&PAS=say prep|de~det:art|el&m=of n|guaraní&m=Guarani +...",%svd:,decir,0,1,2,s,pas,switch,switch,,,
63,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,121,.,que son medio generales +...%com: se escucha una conversación paralela entre Óscar y su padrastro .,%com:,0,,,0,0,0,,,,,
64,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,121,cop|se-3p&pres=be,que son medio generales +...%mor: pro:rel|que=that cop|se-3P&PRES=be adj|medio-m=half imp|genera-2S&IMP~pro:clit|3P=generate +...,%svd:,ser,0,0,3,p,pres,,,,,
65,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,127,.,"como para saber, un poquito más sobre la vida de los chicos .%mor: adv|como=like prep|para=for inf|sabe-INF=know cm|cm det:art|un&m=one pro:indef|poquito=little adv|más=more prep|sobre=above det:art|el&f&SG=the n|vida&f=life prep|de=of det:art|el&m-PL=the adj|chico-m-PL=small .",%mor:,0,,,0,0,0,,,,,
66,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,134,?,salimos las dos ?%mor: v|sali-1P&PRES&PRET=leave det:art|el&f-PL=the det:num|dos=two ?,%mor:,0,,,0,0,0,,,,,
67,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,134,v|sali-1p&pres&pret=leave,salimos las dos ?%mor: v|sali-1P&PRES&PRET=leave det:art|el&f-PL=the det:num|dos=two ?,%svd:,salir,0,1,1,p,pres,,switch,,,
68,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,136,.,&jajaja .,%mor:,0,,,0,0,0,,,,,
69,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,137,.,+< xxx .,%mor:,0,,,0,0,0,,,,,
70,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,138,.,vos decís que estamos saliendo bien .%mor: pro:obj|vos=you v|deci-2P&PRES=say pro:rel|que=that cop|esta-1P&PRES&PRET=be part|sali-PROG=leave adv|bien=well .,%mor:,0,,,0,0,0,,,,,
71,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,138,v|deci-2p&pres=say,vos decís que estamos saliendo bien .%mor: pro:obj|vos=you v|deci-2P&PRES=say pro:rel|que=that cop|esta-1P&PRES&PRET=be part|sali-PROG=leave adv|bien=well .,%svd:,decir,1,1,2,p,pres,,,,,
72,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,138,cop|esta-1p&pres&pret=be,vos decís que estamos saliendo bien .%mor: pro:obj|vos=you v|deci-2P&PRES=say pro:rel|que=that cop|esta-1P&PRES&PRET=be part|sali-PROG=leave adv|bien=well .,%svd:,estar,0,1,1,p,pres,switch,switch,,,
73,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,141,!,mamá !%mor: n|mamá&f=mommy !,%mor:,0,,,0,0,0,,,,,
74,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,143,?,"&em, con quién viven ustedes ?%mor: cm|cm prep|con=with pro:int|quién=who v|vivi-3P&PRES=live pro:sub|usted-PL=you ?",%mor:,0,,,0,0,0,,,,,
75,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,143,v|vivi-3p&pres=live,"&em, con quién viven ustedes ?%mor: cm|cm prep|con=with pro:int|quién=who v|vivi-3P&PRES=live pro:sub|usted-PL=you ?",%svd:,vivir,1,1,usted,p,pres,,,,,
76,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,146,?,ahora en mi casa ?%mor: adv|ahora=now prep|en=in det:poss|mi=my n|casa&f=house ?,%mor:,0,,,0,0,0,,,,,
77,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,148,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
78,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,150,.,nosotros tres .%mor: pro:sub|nosotro-m-PL=we det:num|tres=three .,%mor:,0,,,0,0,0,,,,,
79,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,152,.,"ustedes tres, perfecto .%mor: pro:sub|usted-PL=you det:num|tres=three cm|cm adj|perfecto-m=perfect .",%mor:,0,,,0,0,0,,,,,
80,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,155,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
81,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,157,?,"&eeeeh, y por ejemplo, cuando ustedes tienen que salir, con quién se queda él ?%mor: cm|cm coord|y=and prep|por=for n|ejemplo&m=example cm|cm pro:rel|cuando=when pro:sub|usted-PL=you v|tene-3P&PRES=have prep|que=than inf|sali-INF=leave cm|cm prep|con=with pro:int|quién=who pro:refl|se=itself v|queda-3S&PRES=stay pro:sub|él&m=he ?",%mor:,0,,,0,0,0,,,,,
82,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,157,v|tene-3p&pres=have,"&eeeeh, y por ejemplo, cuando ustedes tienen que salir, con quién se queda él ?%mor: cm|cm coord|y=and prep|por=for n|ejemplo&m=example cm|cm pro:rel|cuando=when pro:sub|usted-PL=you v|tene-3P&PRES=have prep|que=than inf|sali-INF=leave cm|cm prep|con=with pro:int|quién=who pro:refl|se=itself v|queda-3S&PRES=stay pro:sub|él&m=he ?",%svd:,tener,1,1,usted,p,pres,,,,,
83,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,157,v|queda-3s&pres=stay,"&eeeeh, y por ejemplo, cuando ustedes tienen que salir, con quién se queda él ?%mor: cm|cm coord|y=and prep|por=for n|ejemplo&m=example cm|cm pro:rel|cuando=when pro:sub|usted-PL=you v|tene-3P&PRES=have prep|que=than inf|sali-INF=leave cm|cm prep|con=with pro:int|quién=who pro:refl|se=itself v|queda-3S&PRES=stay pro:sub|él&m=he ?",%svd:,quedar,1,1,3,s,pres,switch,switch,,,
84,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,164,.,"&eeeeeeh, normalmente le llevamos .%mor: cm|cm adv:adj|normal-ADV=normal pro:ind|le=him v|lleva-1P&PRES&PRET=carry .",%mor:,0,,,0,0,0,,,,,
85,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,164,v|lleva-1p&pres&pret=carry,"&eeeeeeh, normalmente le llevamos .%mor: cm|cm adv:adj|normal-ADV=normal pro:ind|le=him v|lleva-1P&PRES&PRET=carry .",%svd:,llevar,0,1,1,p,pres,,,,,
86,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,167,v|lleva-3p&pres=carry,le llevan +...%mor: pro:ind|le=him v|lleva-3P&PRES=carry +...,%mor:,0,,,0,0,0,,,,,
